true_cluster,nearest_consensus,correct,div_own,div_nearest_other,div_to_0,div_to_1,div_to_2,div_to_3,div_to_4
0,0,True,0.009987891938300002,0.05578889041087753,0.009987891938300002,0.05578889041087753,,,
0,3,False,0.07282527038454036,0.059354034340778135,0.07282527038454036,0.1023124064237852,0.07435589606924804,0.059354034340778135,0.061272617002676125
0,0,True,0.0329854711912895,0.03592628128780432,0.0329854711912895,0.2131461206946622,0.05003806524522053,0.05228841917282412,0.03592628128780432
0,4,False,0.09908181883299674,0.03274030060095471,0.09908181883299674,0.11257034398041327,0.04981798776251636,0.05211278258853323,0.03274030060095471
0,0,True,0.017514519880032574,0.03581408077320738,0.017514519880032574,0.08207473252469213,0.05687370006603788,0.04995543751789006,0.03581408077320738
0,4,False,0.08180228794351993,0.04374689503272127,0.08180228794351993,0.11445678739847025,0.06129857999216405,0.07886515825661701,0.04374689503272127
0,4,False,0.08544071358968508,0.02671730964923138,0.08544071358968508,0.11670419839514101,0.04299648247420183,0.043634864075410944,0.02671730964923138
0,0,True,0.014307028557502578,0.022664699168237257,0.014307028557502578,0.24096106116794141,0.039006736486091015,0.04035678667555803,0.022664699168237257
0,0,True,0.014351897506750644,0.03277073105091338,0.014351897506750644,0.11860677040796869,0.053882459156611426,0.051044762567501116,0.03277073105091338
0,4,False,0.03845610403555039,0.03782373755537724,0.03845610403555039,0.0855222329724576,0.05283735120348229,0.05642349840982286,0.03782373755537724
0,4,False,0.0910766323903967,0.032788203862732075,0.0910766323903967,0.1550229760804574,0.049919613262545286,0.05325712703581253,0.032788203862732075
0,4,False,0.10393654352624855,0.039942751077655804,0.10393654352624855,0.12640629780674684,0.0548689474080375,0.060925908428428086,0.039942751077655804
0,4,False,0.0302217157668232,0.020666275272594892,0.0302217157668232,0.08091795568864699,0.034141621068725606,0.040336014026508785,0.020666275272594892
0,0,True,0.023834820664808208,0.03480693052331247,0.023834820664808208,0.2555492271703764,0.05786667052850074,0.05543102719994621,0.03480693052331247
0,0,True,0.012827554885345321,0.05207679462969999,0.012827554885345321,0.05207679462969999,,,
0,4,False,0.07861531805925158,0.025666104246989514,0.07861531805925158,0.11362995950323004,0.04097254259447776,0.04351391193205517,0.025666104246989514
0,0,True,0.013234627521193622,0.029739683710667368,0.013234627521193622,0.08181630176196138,0.04693554485276071,0.052188890224537834,0.029739683710667368
0,0,True,0.014111713697686091,0.032754762355893884,0.014111713697686091,0.08493570838734889,0.050883005591542796,0.055398665170150546,0.032754762355893884
0,0,True,0.008260190909822992,0.024136865531115197,0.008260190909822992,0.024136865531115197,0.9873776779375806,,0.9389930372337257
0,0,True,0.016201995921294617,0.017674342139146818,0.016201995921294617,0.169221260221673,0.035131970218473973,0.03823327295891759,0.017674342139146818
0,0,True,0.013093265025185614,0.034803945552035004,0.013093265025185614,0.0842994622485372,0.0568955762770043,0.04889028705143523,0.034803945552035004
0,0,True,0.012888725888625177,0.03583169514308302,0.012888725888625177,0.0798415957165565,0.052895080741405545,0.05870628472951014,0.03583169514308302
0,0,True,0.02098120819816448,0.024954454728517535,0.02098120819816448,0.20768462699878634,0.043453607664131685,0.04732232915452632,0.024954454728517535
0,4,False,0.03307669429228796,0.030051434649031553,0.03307669429228796,0.3886106693528887,0.03413576222759201,0.054994271032546435,0.030051434649031553
0,0,True,0.011881266958764989,0.05450060351327468,0.011881266958764989,0.05450060351327468,,,
0,4,False,0.0848552533973461,0.0287065485431516,0.0848552533973461,0.11349772985842521,0.04294043713719184,0.04565996176580945,0.0287065485431516
0,0,True,0.013957683550561022,0.030743211236969513,0.013957683550561022,0.10042503959922963,0.0479156025637759,0.05325712703581253,0.030743211236969513
0,0,True,0.01582042119390603,0.026704538540861317,0.01582042119390603,0.21638662254055724,0.039070340768308946,0.045729082667987114,0.026704538540861317
0,4,False,0.026584179133785784,0.022620113231364668,0.026584179133785784,0.2045395970494563,0.03994318259662939,0.055233753644451336,0.022620113231364668
0,0,True,0.009186444920299481,0.0248510799330059,0.009186444920299481,0.0248510799330059,,,
0,0,True,0.016372114959687115,0.030743211236969513,0.016372114959687115,0.08169541611595861,0.0479156025637759,0.05325712703581253,0.030743211236969513
0,0,True,0.011923122538367064,0.029828412103010696,0.011923122538367064,0.09940066380141746,0.04606987060141604,0.052352929557572044,0.029828412103010696
0,0,True,0.013380257604900537,0.07157328974997657,0.013380257604900537,0.07157328974997657,,,
0,0,True,0.02212455130615916,0.026678148195344458,0.02212455130615916,0.07330525915047358,0.039990988772427155,0.04674221327059598,0.026678148195344458
0,0,True,0.012632196125009466,0.033795321573381165,0.012632196125009466,0.07848414913481999,0.05489256051024938,0.04782681239436865,0.033795321573381165
0,1,False,0.05159467975453478,0.03824585966787559,0.05159467975453478,0.03824585966787559,,,0.9874463987376806
0,0,True,0.03396800142294664,0.04116632540295169,0.03396800142294664,0.18571497148231103,0.058248364851520115,0.0667915172063009,0.04116632540295169
0,3,False,0.032873717891902327,0.028688974677656236,0.032873717891902327,0.17138574522846162,0.07312285772123898,0.028688974677656236,0.05123726769848143
0,0,True,0.023972474262666486,0.031782587471957544,0.023972474262666486,0.301584810275252,0.04893754952945181,0.05438428343328262,0.031782587471957544
0,0,True,0.00929099047923358,0.05448144983871815,0.00929099047923358,0.05448144983871815,,,
0,0,True,0.01544273025204753,0.030743211236969513,0.01544273025204753,0.11847514089398195,0.0479156025637759,0.05325712703581253,0.030743211236969513
0,4,False,0.09421863021497481,0.03275984475698083,0.09421863021497481,0.12748393963747962,0.048925908194456864,0.05328620996854032,0.03275984475698083
0,3,False,0.05587499514234795,0.03188297204924196,0.05587499514234795,0.09275196730884608,0.071171509738857,0.03188297204924196,0.04922727760312192
0,4,False,0.03766314368957813,0.03221887956059445,0.03766314368957813,0.08108922486289377,0.04865650744300325,0.05293404248275981,0.03221887956059445
0,0,True,0.05704680939655167,0.05825400450823583,0.05704680939655167,0.4307204478533283,0.05928175901655456,0.08183962087639075,0.05825400450823583
0,0,True,0.23250722984249436,0.2974084211902101,0.23250722984249436,0.2974084211902101,,,
0,4,False,0.030544501284021395,0.026705125195206514,0.030544501284021395,0.0798477802254133,0.04100746942224626,0.0424651152283999,0.026705125195206514
0,1,False,0.05036990008505569,0.03765637523424546,0.05036990008505569,0.03765637523424546,,,
0,0,True,0.02746922478578719,0.037949021941400374,0.02746922478578719,0.20285962368588148,0.06202778920623586,0.05660006189219432,0.037949021941400374
0,3,False,0.0685566071980979,0.011126386317150632,0.0685566071980979,0.09927075558066291,0.0752688069934192,0.011126386317150632,0.05127869041261958
0,3,False,0.05137237624983715,0.016244398042074712,0.05137237624983715,0.33177286538418493,0.07208443574881941,0.016244398042074712,0.048112528022495
0,4,False,0.036796862538580416,0.025678747681992905,0.036796862538580416,0.08035659767981798,0.04196532500013527,0.04676500775751537,0.025678747681992905
0,0,True,0.0097655749833757,0.05498308375341353,0.0097655749833757,0.05498308375341353,,,
0,0,True,0.011804359041544515,0.04352166118937849,0.011804359041544515,0.04352166118937849,,,
0,0,True,0.013044953473824668,0.031764662051869653,0.013044953473824668,0.08574868667774252,0.0489166038991124,0.05435482231753031,0.031764662051869653
0,0,True,0.012246206839333635,0.04607500170498,0.012246206839333635,0.04607500170498,,,
0,4,False,0.0275486223004576,0.024718915126646028,0.0275486223004576,0.08025720008537657,0.04305001097937872,0.048989963791180736,0.024718915126646028
0,0,True,0.03393489832953592,0.03605486351027909,0.03393489832953592,0.08537723445952022,0.05469146305491484,0.05287282876340083,0.03605486351027909
0,0,True,0.021237728523400515,0.027609390594274127,0.021237728523400515,0.0871808489980593,0.046748741116654974,0.05632186663557642,0.027609390594274127
0,0,True,0.02071594540139985,0.027723045951522206,0.02071594540139985,0.07347968171523159,0.0440010115375686,0.05005969060134779,0.027723045951522206
0,3,False,0.031415367347591774,0.016249381954169726,0.031415367347591774,0.16292963409217578,0.0721117349120192,0.016249381954169726,0.04813072618421219
0,0,True,0.2263922691907745,0.3213543585821405,0.2263922691907745,0.3213543585821405,,,
0,0,True,0.013493700912780515,0.059567232988314824,0.013493700912780515,0.059567232988314824,,,
0,4,False,0.03202537417837423,0.027997588586548626,0.03202537417837423,0.38725197035639947,0.03411734188861231,0.05287282876340083,0.027997588586548626
0,4,False,0.04318977577276977,0.039942751077655804,0.04318977577276977,0.08359242187299525,0.04692790353776586,0.05221634385060081,0.039942751077655804
0,0,True,0.014738911937479024,0.035886572175603405,0.014738911937479024,0.08332908803856459,0.056973908137564686,0.050055268289306315,0.035886572175603405
0,4,False,0.08017598794959221,0.029739683710667368,0.08017598794959221,0.11417498446393036,0.04693554485276071,0.052188890224537834,0.029739683710667368
0,3,False,0.03265957383417525,0.0131776190388662,0.03265957383417525,0.21711708325014833,0.0680532450505472,0.0131776190388662,0.04503700290404051
0,0,True,0.010958409764340989,0.053025333856651216,0.010958409764340989,0.053025333856651216,,,
