kmer,n_neighbors,min_cluster_size,min_samples,n_clusters,noise_frac,in_target
6,30,1000,10,7,0.3330513135073396,False
6,30,2000,10,4,0.3361394306019713,False
7,30,1000,25,7,0.34345784508650956,False
7,30,1000,1,9,0.3454883878336647,False
5,15,1000,25,7,0.34844959600659925,False
6,30,2000,25,4,0.36071745843732816,False
6,50,2000,1,4,0.36245188036718984,False
6,30,2000,1,3,0.3651169677228309,False
5,15,1000,1,7,0.37019332459071874,False
6,15,2000,10,4,0.3722661703117729,False
6,15,2000,5,4,0.37937306992681585,False
6,15,2000,1,4,0.38313803460383267,False
6,30,2000,5,3,0.44375819620119294,False
6,15,2000,25,4,0.4467194043741275,False
5,15,2000,10,4,0.5031515715554804,False
5,15,2000,5,4,0.5046321756419476,False
7,30,2000,25,4,0.5226955454968484,False
7,30,2000,1,3,0.5255298447480858,False
7,30,2000,5,3,0.5255721477219849,False
7,30,2000,10,4,0.5538305342865604,False
5,15,2000,25,3,0.5916916959262236,False
5,15,2000,1,3,0.5946106011252591,False
7,15,2000,5,2,0.7688988535894073,False
7,15,2000,10,2,0.7689834595372055,False
7,15,2000,1,2,0.781039807098439,False
